Month,Forecasted_Sales,Lower_Bound,Upper_Bound
2018-01-01,43781.72124518797,-40949.98209931171,128728.36443119294
2018-02-01,24740.474357758125,-52377.26413429496,101549.28293791704
2018-03-01,78781.44884232756,-5729.121628820378,163796.8019195197
2018-04-01,52764.38810162092,-28538.517971593807,135217.91610892006
2018-05-01,53088.45256828635,-32246.69607943356,137225.49583269685
2018-06-01,59394.5627906662,-23280.89181357193,140988.11139231268
2018-07-01,55917.423402121,-27734.27537784106,140330.11565169113
2018-08-01,69143.28564948896,-15448.096687961735,152961.54583933376
2018-09-01,113754.4809200726,30243.540301124372,195775.9895646968
2018-10-01,76450.11138907855,-8068.596814777345,160055.2285857745
2018-11-01,126282.58171028887,43689.88983114295,208332.71197794468
2018-12-01,112792.95352599102,31023.54977741154,195260.95830613276
